dataset,method,popm,ponm,nopm,nonm
Abortion,maxflow_cpp_udsp,0.1504191782980446,0.0031306222291578143,0.001049491246843379,0.10716234940144154
Abortion,maxflow_cpp_wdsp,0.06666058732826659,0.0007355344291415214,0.0001331744661177722,0.07028909822983405
Abortion,node2vec_gin,0.036695446285369304,0.0003652624809607343,8.465855720329452e-05,0.03941923075188033
Abortion,pads_cpp,0.04503866896050084,9.908733396373992e-05,0.00019203350701542586,0.2257428112038418
Brexit,maxflow_cpp_udsp,0.8582614655684584,0.21568415777632874,0.007542675096955539,0.22303913040750725
Brexit,maxflow_cpp_wdsp,0.8577050930549389,0.10608044567334755,0.005587796056558485,0.4498948572875357
Brexit,node2vec_gin,0.863090437526161,0.12265019056133887,0.005909526342824758,0.43204529953807
Brexit,pads_cpp,0.8402899502554029,0.10032859320766924,0.004515747282149806,0.4811584631069118
Election,maxflow_cpp_udsp,0.8325129231814619,0.03188574696527112,0.02243162710595891,0.8169455586413435
Election,maxflow_cpp_wdsp,0.8862675403605992,0.02508003951784663,0.02205936357020653,0.8376228802537494
Election,node2vec_gin,0.9428824090977165,0.03478978937743239,0.02545409382839395,0.924388046166975
Election,pads_cpp,0.862273836791112,0.02126801318022229,0.01999452840282523,0.8619744191788493
Gun,maxflow_cpp_udsp,0.8035172698793197,2.4996177191862097e-05,5.01787206556477e-05,0.7751720795032035
Gun,maxflow_cpp_wdsp,0.766191959728465,2.368058554690927e-05,5.014950033669915e-05,0.8116687288732091
Gun,node2vec_gin,0.14598111214902726,6.4065983409330865e-06,0.000721378987957875,0.8273913803753302
Gun,pads_cpp,0.3772300548584904,1.0191940266976302e-05,0.0002547808220384872,0.7670571249161406
Partisanship,maxflow_cpp_udsp,0.7638642912202629,0.7010808683471135,0.594130504714057,0.6565394876642908
Partisanship,maxflow_cpp_wdsp,0.7208711161981369,0.6450244875498262,0.5660895345013728,0.6502874744115622
Partisanship,node2vec_gin,0.7652982387822755,0.7037397951280474,0.6331504468606142,0.699624935568364
Partisanship,pads_cpp,0.699974010431018,0.6148148854204405,0.5602868855954513,0.6556812804843036
Referendum_,maxflow_cpp_udsp,0.9529412124890911,0.0003825555798217307,0.01258567485028311,1.0
Referendum_,maxflow_cpp_wdsp,0.9333230126655849,0.0003567249013388318,0.00987345690507651,1.0
Referendum_,node2vec_gin,0.09183301583043596,6.077089907434289e-05,0.3205203624468688,1.0
Referendum_,pads_cpp,0.9611189466684555,0.00035008254224279725,0.00819995531234322,1.0
